<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEXTN;60;210118;100000;1369.6300000;1385.3400000;1369.6300000;1374.8800000;277126163
MOEXTN;60;210118;110000;1373.8700000;1374.8700000;1368.3000000;1374.1100000;127430290
MOEXTN;60;210118;120000;1374.7700000;1375.5300000;1371.8200000;1375.1000000;96317388
MOEXTN;60;210118;130000;1374.8000000;1376.1600000;1372.5900000;1375.2400000;59773167
MOEXTN;60;210118;140000;1374.9500000;1376.0400000;1371.9700000;1373.5700000;87575153
MOEXTN;60;210118;150000;1373.4200000;1375.6300000;1371.4900000;1375.4800000;50094152
MOEXTN;60;210118;160000;1375.3300000;1376.0000000;1372.8200000;1373.6700000;87473043
MOEXTN;60;210118;170000;1373.8100000;1374.7200000;1371.9500000;1373.7300000;50497824
MOEXTN;60;210118;180000;1373.5800000;1375.3100000;1373.0700000;1373.1500000;50569011
MOEXTN;60;210119;100000;1387.2900000;1397.0200000;1385.0100000;1391.3900000;384604736
MOEXTN;60;210119;110000;1391.8000000;1393.7700000;1388.0600000;1392.1500000;280664213
MOEXTN;60;210119;120000;1392.1500000;1393.3700000;1389.5600000;1391.5600000;104814033
MOEXTN;60;210119;130000;1391.2900000;1391.8400000;1387.2200000;1387.7000000;102717031
MOEXTN;60;210119;140000;1387.7000000;1391.2700000;1387.2900000;1391.0900000;211257431
MOEXTN;60;210119;150000;1391.2800000;1392.3700000;1389.3400000;1390.6300000;152725498
MOEXTN;60;210119;160000;1390.5900000;1392.0600000;1387.4800000;1387.4800000;162449391
MOEXTN;60;210119;170000;1387.4800000;1389.3400000;1381.0400000;1381.1900000;238755597
MOEXTN;60;210119;180000;1381.0800000;1384.8800000;1378.3300000;1384.0800000;291016405
MOEXTN;60;210120;100000;1391.5200000;1396.1600000;1388.0200000;1391.8200000;211670895
MOEXTN;60;210120;110000;1391.8600000;1396.7400000;1391.1400000;1395.1700000;160793647
MOEXTN;60;210120;120000;1395.6500000;1396.0900000;1393.2100000;1395.9400000;135178783
MOEXTN;60;210120;130000;1396.0900000;1396.5900000;1394.3600000;1395.0600000;54455413
MOEXTN;60;210120;140000;1395.0600000;1396.5000000;1391.5100000;1391.5800000;163328192
MOEXTN;60;210120;150000;1391.5800000;1392.9600000;1389.8600000;1391.3400000;99428573
MOEXTN;60;210120;160000;1391.4900000;1392.8800000;1390.2000000;1391.2700000;84066314
MOEXTN;60;210120;170000;1390.9700000;1393.1200000;1390.7200000;1391.8100000;97024332
MOEXTN;60;210120;180000;1391.8100000;1393.2600000;1391.0600000;1392.6700000;107660427
MOEXTN;60;210121;100000;1395.7700000;1400.1200000;1394.1000000;1399.9800000;170877083
MOEXTN;60;210121;110000;1399.6400000;1399.6400000;1372.4900000;1373.2800000;358540754
MOEXTN;60;210121;120000;1372.8700000;1378.5100000;1371.0600000;1376.3800000;189388589
MOEXTN;60;210121;130000;1376.3800000;1383.6400000;1376.0700000;1383.6400000;125723860
MOEXTN;60;210121;140000;1383.6100000;1386.5400000;1377.4000000;1385.1000000;153956012
MOEXTN;60;210121;150000;1385.5100000;1387.7200000;1384.2600000;1387.1900000;71372946
MOEXTN;60;210121;160000;1387.1300000;1391.3500000;1385.2700000;1389.7900000;78450273
MOEXTN;60;210121;170000;1389.7900000;1392.4300000;1387.5500000;1387.6800000;113659054
MOEXTN;60;210121;180000;1388.0800000;1390.4000000;1386.7300000;1390.4000000;55479676
MOEXTN;60;210122;100000;1389.1200000;1395.5500000;1373.1200000;1377.2400000;366302334
MOEXTN;60;210122;110000;1377.4500000;1377.4500000;1367.7300000;1371.9500000;221829541
MOEXTN;60;210122;120000;1371.9500000;1378.5700000;1371.7100000;1377.5300000;155527876
MOEXTN;60;210122;130000;1377.5900000;1380.9700000;1375.9900000;1378.7700000;212635519
MOEXTN;60;210122;140000;1379.4000000;1379.4000000;1374.4900000;1375.9800000;184476315
MOEXTN;60;210122;150000;1376.1700000;1381.8700000;1376.1100000;1377.6500000;150326690
MOEXTN;60;210122;160000;1377.3600000;1379.5300000;1376.3400000;1378.0900000;106401117
MOEXTN;60;210122;170000;1378.2600000;1382.5400000;1378.1100000;1381.2200000;119178862
MOEXTN;60;210122;180000;1380.8100000;1385.4100000;1380.8100000;1381.8700000;150312946
MOEXTN;60;210125;100000;1389.6700000;1396.2200000;1383.1700000;1383.9900000;511325759
MOEXTN;60;210125;110000;1383.9900000;1384.4600000;1375.4700000;1378.7000000;245585072
MOEXTN;60;210125;120000;1378.5600000;1378.9100000;1374.1000000;1375.6100000;174179813
MOEXTN;60;210125;130000;1375.4700000;1376.7500000;1373.8000000;1375.5700000;145506035
MOEXTN;60;210125;140000;1375.4300000;1377.8400000;1370.6300000;1371.9200000;361042367
MOEXTN;60;210125;150000;1372.1300000;1377.3400000;1371.7500000;1372.8600000;144019521
MOEXTN;60;210125;160000;1373.0300000;1373.0300000;1369.3400000;1371.0300000;158853716
